節氣	西元	月	日	時	分	秒
小寒	2021	1	5	11	23	12
大寒	2021	1	20	4	39	38
立春	2021	2	3	22	58	34
雨水	2021	2	18	18	43	44
驚蟄	2021	3	5	16	53	27
春分	2021	3	20	17	37	15
清明	2021	4	4	21	34	52
榖雨	2021	4	20	4	33	10
立夏	2021	5	5	14	46	56
小滿	2021	5	21	3	36	53
芒種	2021	6	5	18	51	52
夏至	2021	6	21	11	31	55
小暑	2021	7	7	5	5	14
大暑	2021	7	22	22	26	11
立秋	2021	8	7	14	53	44
處暑	2021	8	23	5	34	44
白露	2021	9	7	17	52	42
秋分	2021	9	23	3	20	51
寒露	2021	10	8	9	38	47
霜降	2021	10	23	12	50	55
立冬	2021	11	7	12	58	31
小雪	2021	11	22	10	33	29
大雪	2021	12	7	5	56	49
冬至	2021	12	21	23	59	3
小寒	2022	1	5	17	13	49
大寒	2022	1	20	10	38	52
立春	2022	2	4	4	50	33
雨水	2022	2	19	0	42	46
驚蟄	2022	3	5	22	43	30
春分	2022	3	20	23	33	10
清明	2022	4	5	3	19	59
榖雨	2022	4	20	10	24	1
立夏	2022	5	5	20	25	42
小滿	2022	5	21	9	22	19
芒種	2022	6	6	0	25	33
夏至	2022	6	21	17	13	35
小暑	2022	7	7	10	37	45
大暑	2022	7	23	4	6	44
立秋	2022	8	7	20	28	54
處暑	2022	8	23	11	15	54
白露	2022	9	7	23	32	2
秋分	2022	9	23	9	3	26
寒露	2022	10	8	15	22	11
霜降	2022	10	23	18	35	26
立冬	2022	11	7	18	45	13
小雪	2022	11	22	16	20	13
大雪	2022	12	7	11	46	0
冬至	2022	12	22	5	47	57
小寒	2023	1	5	23	4	35
大寒	2023	1	20	16	29	18
立春	2023	2	4	10	42	17
雨水	2023	2	19	6	34	2
驚蟄	2023	3	6	4	35	58
春分	2023	3	21	5	24	10
清明	2023	4	5	9	12	47
榖雨	2023	4	20	16	13	21
立夏	2023	5	6	2	18	29
小滿	2023	5	21	15	8	55
芒種	2023	6	6	6	18	5
夏至	2023	6	21	22	57	33
小暑	2023	7	7	16	30	25
大暑	2023	7	23	9	50	11
立秋	2023	8	8	2	22	36
處暑	2023	8	23	17	1	2
白露	2023	9	8	5	26	25
秋分	2023	9	23	14	49	42
寒露	2023	10	8	21	15	18
霜降	2023	10	24	0	20	35
立冬	2023	11	8	0	35	19
小雪	2023	11	22	22	2	25
大雪	2023	12	7	17	32	40
冬至	2023	12	22	11	27	5
小寒	2024	1	6	4	49	5
